,confirmed
2/24/21,17
2/25/21,13
2/26/21,25
2/27/21,32
2/28/21,22
3/1/21,14
3/2/21,13
3/3/21,14
3/4/21,9
3/5/21,11
3/6/21,8
3/7/21,16
3/8/21,9
3/9/21,21
3/10/21,8
3/11/21,22
3/12/21,60
3/13/21,47
3/14/21,24
3/15/21,30
3/16/21,18
3/17/21,11
3/18/21,10
3/19/21,13
3/20/21,8
3/21/21,8
3/22/21,18
3/23/21,12
3/24/21,10
3/25/21,9
3/26/21,11
3/27/21,6
3/28/21,1
3/29/21,8
3/30/21,7
3/31/21,6
4/1/21,13
4/2/21,19
4/3/21,2
4/4/21,7
4/5/21,16
4/6/21,7
4/7/21,8
4/8/21,10
4/9/21,14
4/10/21,5
4/11/21,13
4/12/21,13
4/13/21,13
4/14/21,5
4/15/21,6
4/16/21,17
4/17/21,18
4/18/21,30
4/19/21,12
4/20/21,8
4/21/21,1
4/22/21,14
4/23/21,9
4/24/21,3
4/25/21,6
4/26/21,4
4/27/21,8
4/28/21,7
4/29/21,15
4/30/21,4
5/1/21,8
5/2/21,2
5/3/21,2
5/4/21,4
5/5/21,6
5/6/21,2
5/7/21,3
5/8/21,5
5/9/21,1
5/10/21,4
5/11/21,1
5/12/21,2
5/13/21,3
5/14/21,1
5/15/21,3
5/16/21,3
5/17/21,1
5/18/21,1
5/19/21,1
5/20/21,1
5/21/21,1
5/22/21,1
5/23/21,2
5/24/21,1
5/25/21,2
5/26/21,1
5/27/21,0
5/28/21,0
5/29/21,1
5/30/21,0
5/31/21,4
6/1/21,7
6/2/21,0
6/3/21,1
6/4/21,1
6/5/21,1
6/6/21,7
6/7/21,7
6/8/21,3
6/9/21,4
6/10/21,2
6/11/21,0
6/12/21,3
6/13/21,0
6/14/21,1
6/15/21,2
6/16/21,1
6/17/21,0
6/18/21,3
6/19/21,1
6/20/21,1
6/21/21,3
6/22/21,7
6/23/21,2
6/24/21,7
6/25/21,4
6/26/21,2
6/27/21,6
6/28/21,3
6/29/21,1
6/30/21,2
7/1/21,4
7/2/21,11
7/3/21,1
7/4/21,3
7/5/21,1
7/6/21,1
7/7/21,1
7/8/21,3
7/9/21,1
7/10/21,1
7/11/21,1
7/12/21,0
7/13/21,1
7/14/21,3
7/15/21,0
7/16/21,1
7/17/21,0
7/18/21,2
7/19/21,0
7/20/21,7
7/21/21,5
7/22/21,1
7/23/21,2
7/24/21,2
7/25/21,3
7/26/21,0
7/27/21,1
7/28/21,1
7/29/21,2
7/30/21,2
7/31/21,0
8/1/21,3
8/2/21,3
8/3/21,4
8/4/21,2
8/5/21,6
8/6/21,2
8/7/21,7
8/8/21,2
8/9/21,2
8/10/21,4
8/11/21,1
8/12/21,5
8/13/21,5
8/14/21,2
8/15/21,1
8/16/21,3
8/17/21,3
8/18/21,3
8/19/21,5
8/20/21,2
8/21/21,3
8/22/21,5
8/23/21,5
8/24/21,7
8/25/21,5
8/26/21,3
8/27/21,17
8/28/21,6
8/29/21,7
8/30/21,3
8/31/21,2
9/1/21,1
9/2/21,0
9/3/21,-1
9/4/21,1
9/5/21,8
9/6/21,2
9/7/21,6
9/8/21,2
9/9/21,2
9/10/21,5
9/11/21,4
9/12/21,3
9/13/21,1
9/14/21,2
9/15/21,1
9/16/21,0
9/17/21,3
9/18/21,5
9/19/21,3
9/20/21,5
9/21/21,1
9/22/21,1
9/23/21,2
9/24/21,7
9/25/21,9
9/26/21,8
9/27/21,3
9/28/21,13
9/29/21,5
9/30/21,3
10/1/21,4
10/2/21,5
10/3/21,0
10/4/21,4
10/5/21,7
10/6/21,6
10/7/21,8
10/8/21,2
10/9/21,-23
10/10/21,31
10/11/21,7
10/12/21,4
10/13/21,3
10/14/21,1
10/15/21,9
10/16/21,6
10/17/21,3
10/18/21,5
10/19/21,2
10/20/21,4
10/21/21,6
10/22/21,2
10/23/21,6
10/24/21,4
10/25/21,4
10/26/21,3
10/27/21,5
10/28/21,2
10/29/21,5
10/30/21,3
10/31/21,1
11/1/21,1
11/2/21,2
11/3/21,3
11/4/21,7
11/5/21,1
11/6/21,7
11/7/21,1
11/8/21,0
11/9/21,1
11/10/21,5
11/11/21,3
11/12/21,1
11/13/21,2
11/14/21,1
11/15/21,6
11/16/21,1
11/17/21,3
11/18/21,4
11/19/21,1
11/20/21,3
11/21/21,2
11/22/21,3
11/23/21,6
11/24/21,1
11/25/21,6
11/26/21,4
11/27/21,3
11/28/21,3
11/29/21,3
11/30/21,6
12/1/21,3
12/2/21,6
12/3/21,3
12/4/21,4
12/5/21,9
12/6/21,5
12/7/21,5
12/8/21,0
12/9/21,7
12/10/21,4
12/11/21,1
12/12/21,5
12/13/21,2
12/14/21,5
12/15/21,1
12/16/21,10
12/17/21,7
12/18/21,5
12/19/21,8
12/20/21,7
12/21/21,8
12/22/21,7
12/23/21,2
12/24/21,5
12/25/21,25
12/26/21,9
12/27/21,9
12/28/21,6
12/29/21,14
12/30/21,12
12/31/21,19
1/1/22,18
1/2/22,26
1/3/22,29
1/4/22,39
1/5/22,38
1/6/22,33
1/7/22,33
1/8/22,37
1/9/22,33
1/10/22,24
1/11/22,21
1/12/22,22
1/13/22,14
1/14/22,9
1/15/22,5
1/16/22,11
1/17/22,7
1/18/22,18
1/19/22,16
1/20/22,14
1/21/22,24
1/22/22,26
1/23/22,140
1/24/22,109
1/25/22,124
1/26/22,107
1/27/22,164
1/28/22,115
1/29/22,119
1/30/22,81
1/31/22,92
2/1/22,129
2/2/22,116
2/3/22,142
2/4/22,131
2/5/22,351
2/6/22,342
2/7/22,614
2/8/22,625
2/9/22,1161
2/10/22,986
2/11/22,1325
2/12/22,1514
2/13/22,1347
2/14/22,2071
2/15/22,1619
2/16/22,4285
2/17/22,6116
2/18/22,3629
2/19/22,6063
2/20/22,6067
2/21/22,7533
2/22/22,6211
2/23/22,8674
2/24/22,8798
2/25/22,10010
2/26/22,74534
2/27/22,50976
2/28/22,56178
3/1/22,55658
3/2/22,76341
3/3/22,76991
3/4/22,72682
3/5/22,67583
3/6/22,39801
3/7/22,36395
3/8/22,38751
3/9/22,30461
3/10/22,31402
3/11/22,29381
3/12/22,27647
3/13/22,32430
3/14/22,26908
3/15/22,27765
3/16/22,29272
3/17/22,21650
3/18/22,20082
3/19/22,16597
3/20/22,14149
3/21/22,14068
3/22/22,14152
3/23/22,12240
3/24/22,13074
3/25/22,10405
3/26/22,8841
3/27/22,8037
3/28/22,7685
3/29/22,7596
3/30/22,6981
3/31/22,6646
4/1/22,5823
4/2/22,4475
4/3/22,3709
4/4/22,3138
4/5/22,3254
4/6/22,2777
4/7/22,2644
4/8/22,2492
4/9/22,2535
4/10/22,1921
4/11/22,1407
4/12/22,1433
4/13/22,1272
4/14/22,1043
4/15/22,946
4/16/22,794
4/17/22,747
4/18/22,613
4/19/22,600
4/20/22,668
4/21/22,628
4/22/22,574
4/23/22,523
4/24/22,429
4/25/22,431
4/26/22,347
4/27/22,430
4/28/22,413
4/29/22,366
4/30/22,363
5/1/22,300
5/2/22,283
5/3/22,290
5/4/22,313
5/5/22,321
5/6/22,324
5/7/22,278
5/8/22,266
5/9/22,233
5/10/22,273
5/11/22,280
5/12/22,294
5/13/22,298
5/14/22,284
5/15/22,259
5/16/22,234
5/17/22,328
5/18/22,329
5/19/22,291
5/20/22,243
5/21/22,228
5/22/22,237
5/23/22,190
5/24/22,250
5/25/22,251
5/26/22,251
5/27/22,250
5/28/22,270
5/29/22,237
5/30/22,275
5/31/22,329
6/1/22,505
6/2/22,489
6/3/22,499
6/4/22,446
6/5/22,515
6/6/22,543
6/7/22,239
6/8/22,293
6/9/22,614
6/10/22,668
6/11/22,851
6/12/22,814
6/13/22,737
6/14/22,849
6/15/22,1047
6/16/22,1179
6/17/22,1145
6/18/22,1276
6/19/22,1276
6/20/22,1327
6/21/22,1198
6/22/22,1447
6/23/22,1650
6/24/22,1860
6/25/22,1794
6/26/22,1917
6/27/22,1873
6/28/22,1685
6/29/22,2004
6/30/22,2358
7/1/22,2318
7/2/22,2227
7/3/22,1828
7/4/22,1841
7/5/22,2268
7/6/22,2815
7/7/22,3028
7/8/22,2945
7/9/22,2995
7/10/22,2992
7/11/22,2863
7/12/22,2769
7/13/22,3154
7/14/22,3674
7/15/22,3574
7/16/22,3762
7/17/22,3486
7/18/22,3436
7/19/22,3256
7/20/22,3805
7/21/22,4375
7/22/22,4270
7/23/22,4265
7/24/22,4250
7/25/22,4130
7/26/22,4276
7/27/22,4508
7/28/22,4886
7/29/22,4884
7/30/22,4683
7/31/22,4634
8/1/22,4254
8/2/22,4123
8/3/22,4547
8/4/22,5020
8/5/22,4428
8/6/22,4602
8/7/22,4274
8/8/22,4040
8/9/22,4045
8/10/22,4593
8/11/22,4376
8/12/22,4439
8/13/22,5308
8/14/22,4979
8/15/22,4896
8/16/22,5162
8/17/22,5757
8/18/22,6054
8/19/22,6445
8/20/22,6389
8/21/22,6513
8/22/22,6617
8/23/22,6654
8/24/22,7884
8/25/22,8579
8/26/22,7835
8/27/22,8457
8/28/22,9708
8/29/22,8488
8/30/22,8848
8/31/22,9495
9/1/22,10586
9/2/22,9901
9/3/22,10426
9/4/22,10683
9/5/22,10021
9/6/22,9373
9/7/22,10194
9/8/22,11091
9/9/22,10076
9/10/22,9787
9/11/22,9033
9/12/22,7938
9/13/22,7218
9/14/22,7579
9/15/22,8187
9/16/22,8999
9/17/22,8278
9/18/22,7322
9/19/22,6260
9/20/22,5594
9/21/22,5687
9/22/22,5990
9/23/22,5387
9/24/22,5190
9/25/22,3897
9/26/22,4034
9/27/22,3667
9/28/22,3911
9/29/22,4269
9/30/22,4023
10/1/22,3907
10/2/22,3569
10/3/22,3529
10/4/22,3286
10/5/22,3642
10/6/22,4318
10/7/22,4369
10/8/22,4900
10/9/22,4890
10/10/22,4874
10/11/22,4656
10/12/22,4788
10/13/22,5622
10/14/22,5106
10/15/22,5424
10/16/22,5564
10/17/22,5361
10/18/22,4954
10/19/22,5124
10/20/22,5433
10/21/22,5393
